epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6471,1.45206,2.8199,1.12983,0.61598,0.18243,0.18784,0.12515,1.30551,1.61515,1.06191,4.9521e-05,4.9521e-05,4.9521e-05
2,73.4518,1.35454,1.51656,1.0945,0.59006,0.2701,0.27075,0.17795,1.29897,1.40445,1.06658,9.82057e-05,9.82057e-05,9.82057e-05
3,105.126,1.34415,1.3744,1.09516,0.55204,0.28645,0.30735,0.20534,1.29178,1.32816,1.07745,0.000145907,0.000145907,0.000145907
4,138.019,1.33773,1.2983,1.09258,0.51297,0.3019,0.31134,0.20755,1.30005,1.28315,1.08172,0.000144575,0.000144575,0.000144575
5,170.615,1.32422,1.25377,1.08699,0.54954,0.32193,0.32765,0.21931,1.29469,1.24992,1.083,0.0001431,0.0001431,0.0001431
6,201.607,1.30739,1.19505,1.08004,0.52155,0.33255,0.33693,0.2247,1.29192,1.21818,1.07839,0.000141624,0.000141624,0.000141624
7,232.681,1.30063,1.16994,1.07365,0.56312,0.32888,0.3434,0.2295,1.26936,1.18769,1.07354,0.000140149,0.000140149,0.000140149
8,263.735,1.27807,1.12778,1.06629,0.54996,0.3219,0.34125,0.22391,1.27513,1.18506,1.06948,0.000138674,0.000138674,0.000138674
9,295.492,1.27341,1.11497,1.06377,0.58606,0.33322,0.35614,0.23229,1.28463,1.18095,1.07226,0.000137199,0.000137199,0.000137199
10,326.581,1.26462,1.08573,1.05608,0.54953,0.33896,0.36372,0.23787,1.27046,1.14841,1.07325,0.000135724,0.000135724,0.000135724
11,357.157,1.25943,1.07634,1.05742,0.53964,0.35806,0.37976,0.25119,1.272,1.13735,1.07217,0.000134249,0.000134249,0.000134249
12,388.431,1.25147,1.05647,1.04993,0.54595,0.35654,0.36896,0.24467,1.26904,1.13379,1.07245,0.000132774,0.000132774,0.000132774
13,420.476,1.24909,1.0389,1.04926,0.56554,0.36321,0.38744,0.25224,1.28209,1.138,1.07215,0.000131299,0.000131299,0.000131299
14,451.294,1.24237,1.03319,1.0479,0.54514,0.37,0.38271,0.25417,1.26131,1.1236,1.06658,0.000129824,0.000129824,0.000129824
15,482.346,1.23655,1.01341,1.03813,0.57844,0.36536,0.38804,0.25438,1.27224,1.11738,1.06361,0.000128349,0.000128349,0.000128349
16,514.56,1.22317,0.9935,1.03795,0.60877,0.36154,0.39105,0.25845,1.27797,1.11937,1.06476,0.000126873,0.000126873,0.000126873
17,546.324,1.22451,0.98599,1.03413,0.57547,0.38101,0.3984,0.2623,1.24929,1.11446,1.05703,0.000125398,0.000125398,0.000125398
18,577.379,1.22403,0.98724,1.03208,0.57506,0.35855,0.39162,0.25736,1.26689,1.10353,1.05816,0.000123923,0.000123923,0.000123923
19,608.926,1.20855,0.96945,1.02506,0.59852,0.37728,0.39459,0.26142,1.25831,1.09637,1.06354,0.000122448,0.000122448,0.000122448
20,640.655,1.2122,0.96243,1.02443,0.57862,0.37169,0.39305,0.26,1.26335,1.08976,1.06331,0.000120973,0.000120973,0.000120973
21,672.501,1.20465,0.94362,1.02399,0.56845,0.36068,0.38939,0.25311,1.27,1.10926,1.06211,0.000119498,0.000119498,0.000119498
22,703.955,1.19358,0.93543,1.01926,0.59066,0.36944,0.39825,0.26289,1.25878,1.08336,1.06108,0.000118023,0.000118023,0.000118023
23,735.054,1.19992,0.92956,1.01943,0.62257,0.3701,0.39847,0.26714,1.26264,1.06929,1.06081,0.000116548,0.000116548,0.000116548
24,766.637,1.18637,0.91704,1.01539,0.60873,0.37533,0.4015,0.26059,1.2546,1.07269,1.0572,0.000115073,0.000115073,0.000115073
25,798.066,1.18205,0.91214,1.01341,0.59113,0.38135,0.40283,0.26899,1.25321,1.07334,1.06049,0.000113598,0.000113598,0.000113598
26,829.469,1.19648,0.91105,1.01374,0.59735,0.37823,0.40304,0.2676,1.24462,1.07797,1.05766,0.000112122,0.000112122,0.000112122
27,860.705,1.18058,0.89887,1.01085,0.62495,0.35987,0.40225,0.2705,1.24694,1.07014,1.05574,0.000110647,0.000110647,0.000110647
28,892.199,1.16505,0.89499,1.00738,0.5545,0.37286,0.3954,0.2628,1.2457,1.07152,1.05768,0.000109172,0.000109172,0.000109172
29,923.673,1.1678,0.88584,1.00452,0.56103,0.38095,0.39851,0.26045,1.24562,1.06585,1.05313,0.000107697,0.000107697,0.000107697
30,954.874,1.16568,0.87723,1.00335,0.60504,0.37604,0.40127,0.26641,1.25425,1.06028,1.05845,0.000106222,0.000106222,0.000106222
31,986.115,1.15972,0.87391,1.00113,0.62657,0.36982,0.40568,0.26877,1.25438,1.06453,1.05622,0.000104747,0.000104747,0.000104747
32,1019,1.16087,0.86627,0.99881,0.59234,0.37129,0.40104,0.26805,1.2457,1.0579,1.05473,0.000103272,0.000103272,0.000103272
33,1050.12,1.15719,0.86195,0.99841,0.60475,0.37197,0.39676,0.26788,1.24524,1.06037,1.05395,0.000101797,0.000101797,0.000101797
34,1081.61,1.1499,0.85442,0.99662,0.6479,0.37652,0.41122,0.27281,1.2399,1.04467,1.05299,0.000100322,0.000100322,0.000100322
35,1112.5,1.14913,0.84588,0.99515,0.58114,0.37435,0.40508,0.2701,1.23627,1.0508,1.05056,9.88466e-05,9.88466e-05,9.88466e-05
36,1143.98,1.14834,0.83933,0.99271,0.59977,0.37763,0.40364,0.26835,1.2481,1.05722,1.05851,9.73715e-05,9.73715e-05,9.73715e-05
37,1175.16,1.13844,0.83105,0.99377,0.61832,0.37685,0.41154,0.27079,1.25321,1.05027,1.05343,9.58964e-05,9.58964e-05,9.58964e-05
38,1206.28,1.1364,0.83023,0.98799,0.58114,0.38201,0.40465,0.26655,1.24534,1.05406,1.0564,9.44213e-05,9.44213e-05,9.44213e-05
39,1237.66,1.13281,0.82076,0.98847,0.59365,0.38038,0.40495,0.26716,1.24565,1.05294,1.05415,9.29462e-05,9.29462e-05,9.29462e-05
40,1268.9,1.13237,0.82156,0.98834,0.61527,0.38322,0.41932,0.27787,1.23835,1.04071,1.05391,9.14711e-05,9.14711e-05,9.14711e-05
41,1300.16,1.12935,0.81593,0.98541,0.59331,0.38923,0.41253,0.27382,1.24829,1.05069,1.05411,8.9996e-05,8.9996e-05,8.9996e-05
42,1331.41,1.12318,0.80911,0.98352,0.57942,0.3982,0.40742,0.26971,1.25104,1.04735,1.0571,8.85209e-05,8.85209e-05,8.85209e-05
43,1362.55,1.11365,0.80057,0.98299,0.64105,0.38638,0.41196,0.27624,1.23806,1.03508,1.05248,8.70458e-05,8.70458e-05,8.70458e-05
44,1394.04,1.11916,0.80292,0.98145,0.62852,0.38808,0.42213,0.28424,1.23969,1.04028,1.05771,8.55707e-05,8.55707e-05,8.55707e-05
45,1424.91,1.11344,0.79235,0.97819,0.63528,0.38445,0.42151,0.2836,1.2481,1.0414,1.0531,8.40956e-05,8.40956e-05,8.40956e-05
46,1456.46,1.11558,0.79523,0.97946,0.60376,0.38245,0.41419,0.27521,1.24811,1.04353,1.05256,8.26205e-05,8.26205e-05,8.26205e-05
47,1488.16,1.11278,0.78754,0.97557,0.59473,0.38964,0.41825,0.28091,1.24245,1.03791,1.0526,8.11454e-05,8.11454e-05,8.11454e-05
48,1519.45,1.11226,0.78684,0.97774,0.64931,0.38407,0.41984,0.27821,1.24483,1.03883,1.05358,7.96703e-05,7.96703e-05,7.96703e-05
49,1550.94,1.09518,0.77858,0.97415,0.61483,0.38462,0.41417,0.27575,1.24696,1.04127,1.05452,7.81952e-05,7.81952e-05,7.81952e-05
50,1582.58,1.0992,0.77356,0.97332,0.63025,0.38794,0.41699,0.27828,1.24217,1.04462,1.05617,7.67201e-05,7.67201e-05,7.67201e-05
51,1614.43,1.10618,0.776,0.97408,0.64362,0.38119,0.41542,0.27392,1.24665,1.04332,1.05582,7.5245e-05,7.5245e-05,7.5245e-05
52,1645.7,1.10223,0.77132,0.97076,0.62612,0.38947,0.41899,0.28113,1.23735,1.03197,1.05404,7.37699e-05,7.37699e-05,7.37699e-05
53,1677.89,1.08944,0.76132,0.96951,0.61471,0.39602,0.42091,0.2778,1.24507,1.0375,1.05675,7.22948e-05,7.22948e-05,7.22948e-05
54,1710.1,1.08594,0.7572,0.96642,0.6282,0.39695,0.42467,0.28296,1.23682,1.03133,1.05733,7.08197e-05,7.08197e-05,7.08197e-05
55,1742.75,1.08974,0.75557,0.96649,0.6379,0.38169,0.42052,0.27946,1.24299,1.03474,1.05678,6.93446e-05,6.93446e-05,6.93446e-05
56,1774.26,1.08131,0.75197,0.96655,0.61822,0.39459,0.42093,0.27929,1.24474,1.03752,1.05772,6.78695e-05,6.78695e-05,6.78695e-05
57,1805.57,1.07959,0.75028,0.96597,0.60313,0.3974,0.41994,0.27542,1.24257,1.03904,1.05447,6.63944e-05,6.63944e-05,6.63944e-05
58,1836.78,1.08866,0.75152,0.96782,0.64663,0.3889,0.42437,0.28285,1.24192,1.04013,1.05722,6.49193e-05,6.49193e-05,6.49193e-05
59,1868.2,1.06756,0.74177,0.96243,0.63288,0.39331,0.42705,0.2841,1.23844,1.03956,1.05759,6.34442e-05,6.34442e-05,6.34442e-05
60,1899.54,1.07763,0.74084,0.9635,0.6381,0.39215,0.42305,0.28129,1.24217,1.03575,1.05626,6.19691e-05,6.19691e-05,6.19691e-05
61,1930.9,1.06958,0.73534,0.96065,0.62778,0.39271,0.42515,0.28382,1.24242,1.0353,1.05782,6.0494e-05,6.0494e-05,6.0494e-05
62,1962.23,1.07425,0.73347,0.95943,0.6586,0.38478,0.42602,0.28076,1.24128,1.03162,1.05834,5.90189e-05,5.90189e-05,5.90189e-05
63,1993.46,1.05845,0.72541,0.96044,0.62051,0.39181,0.42168,0.28079,1.2405,1.03875,1.05846,5.75438e-05,5.75438e-05,5.75438e-05
64,2024.79,1.06049,0.72439,0.95713,0.63553,0.39319,0.42179,0.28391,1.24251,1.03656,1.05602,5.60687e-05,5.60687e-05,5.60687e-05
65,2055.9,1.06878,0.72582,0.95724,0.64788,0.38992,0.42182,0.28372,1.24135,1.03891,1.05634,5.45936e-05,5.45936e-05,5.45936e-05
66,2087.28,1.06422,0.72445,0.95616,0.64937,0.38921,0.42098,0.28063,1.24267,1.03504,1.05866,5.31185e-05,5.31185e-05,5.31185e-05
67,2118.71,1.0588,0.71872,0.9554,0.61424,0.40237,0.42269,0.28321,1.24412,1.03387,1.05729,5.16434e-05,5.16434e-05,5.16434e-05
68,2149.68,1.05144,0.71067,0.95146,0.64272,0.39163,0.42325,0.28324,1.24501,1.03243,1.05767,5.01683e-05,5.01683e-05,5.01683e-05
69,2181.04,1.05082,0.70917,0.9521,0.59061,0.40213,0.42263,0.28353,1.24289,1.03509,1.058,4.86932e-05,4.86932e-05,4.86932e-05
70,2212.4,1.05006,0.70555,0.9494,0.61894,0.38987,0.41783,0.28046,1.2455,1.04312,1.06037,4.72181e-05,4.72181e-05,4.72181e-05
71,2244.15,1.04913,0.70786,0.95267,0.63216,0.39178,0.41949,0.28069,1.2439,1.04631,1.05978,4.5743e-05,4.5743e-05,4.5743e-05
72,2275.53,1.04996,0.70324,0.94862,0.62876,0.40074,0.42277,0.28415,1.24314,1.03884,1.05843,4.42679e-05,4.42679e-05,4.42679e-05
73,2307.04,1.03728,0.69483,0.94503,0.61878,0.3908,0.41911,0.28028,1.24492,1.0393,1.06011,4.27928e-05,4.27928e-05,4.27928e-05
74,2338.53,1.04057,0.69697,0.94678,0.65213,0.38704,0.42416,0.28529,1.24598,1.03727,1.06041,4.13177e-05,4.13177e-05,4.13177e-05
75,2369.42,1.03799,0.69348,0.94561,0.60873,0.40322,0.42521,0.28268,1.24689,1.03911,1.05904,3.98426e-05,3.98426e-05,3.98426e-05
76,2400.72,1.04243,0.69125,0.94634,0.61905,0.39891,0.42484,0.28462,1.24392,1.04435,1.05911,3.83675e-05,3.83675e-05,3.83675e-05
77,2431.69,1.03014,0.68471,0.94085,0.60109,0.4039,0.42081,0.28088,1.24606,1.04593,1.05742,3.68924e-05,3.68924e-05,3.68924e-05
78,2462.95,1.03185,0.68468,0.94498,0.59854,0.40234,0.42046,0.28244,1.24401,1.04454,1.05761,3.54173e-05,3.54173e-05,3.54173e-05
79,2494.09,1.03176,0.68581,0.94219,0.60067,0.39532,0.4183,0.28108,1.24373,1.03813,1.05928,3.39422e-05,3.39422e-05,3.39422e-05
80,2525.1,1.02467,0.68248,0.94313,0.61083,0.39356,0.41911,0.28161,1.24337,1.03449,1.05954,3.24671e-05,3.24671e-05,3.24671e-05
81,2556.45,1.02476,0.68111,0.94188,0.59314,0.40196,0.41743,0.27902,1.24136,1.04027,1.06199,3.0992e-05,3.0992e-05,3.0992e-05
82,2587.61,1.02931,0.67972,0.94256,0.61698,0.39093,0.41879,0.2807,1.24356,1.03731,1.062,2.95169e-05,2.95169e-05,2.95169e-05
83,2618.57,1.01899,0.67457,0.94104,0.60652,0.39542,0.41683,0.27857,1.24426,1.03883,1.05971,2.80418e-05,2.80418e-05,2.80418e-05
84,2649.97,1.01633,0.66906,0.93922,0.64377,0.38293,0.42102,0.28109,1.24311,1.04157,1.06029,2.65667e-05,2.65667e-05,2.65667e-05
85,2681.01,1.0165,0.66958,0.93508,0.62888,0.3921,0.42201,0.28265,1.24072,1.03792,1.05616,2.50916e-05,2.50916e-05,2.50916e-05
86,2712.04,1.0127,0.66373,0.93601,0.6215,0.39385,0.41965,0.28157,1.24382,1.0414,1.05841,2.36165e-05,2.36165e-05,2.36165e-05
87,2742.97,1.01362,0.66781,0.9385,0.61795,0.39741,0.41847,0.28025,1.24223,1.03888,1.05888,2.21414e-05,2.21414e-05,2.21414e-05
88,2773.92,1.01723,0.66597,0.93593,0.63203,0.39106,0.42029,0.28135,1.24174,1.03925,1.05831,2.06663e-05,2.06663e-05,2.06663e-05
89,2805.43,1.00725,0.66093,0.93459,0.65688,0.3868,0.4231,0.2827,1.24212,1.036,1.0592,1.91912e-05,1.91912e-05,1.91912e-05
90,2836.67,1.01456,0.66025,0.93492,0.62202,0.39704,0.42109,0.28333,1.24542,1.04328,1.05916,1.77161e-05,1.77161e-05,1.77161e-05
91,2869.6,1.00093,0.63124,0.92477,0.62714,0.38875,0.4173,0.2788,1.25121,1.04661,1.0653,1.6241e-05,1.6241e-05,1.6241e-05
92,2900.77,0.98646,0.6149,0.91796,0.63287,0.38476,0.41841,0.27902,1.2506,1.0478,1.06578,1.47659e-05,1.47659e-05,1.47659e-05
93,2933.11,0.98014,0.60866,0.91669,0.6248,0.39244,0.42025,0.27854,1.25179,1.04817,1.06512,1.32908e-05,1.32908e-05,1.32908e-05
94,2965.27,0.97386,0.60431,0.91488,0.63286,0.39192,0.4201,0.27887,1.25024,1.04955,1.06487,1.18157e-05,1.18157e-05,1.18157e-05
95,2997.2,0.97585,0.60268,0.91409,0.63882,0.38706,0.41954,0.27752,1.24913,1.04868,1.06422,1.03406e-05,1.03406e-05,1.03406e-05
96,3029.3,0.96991,0.59827,0.91242,0.61368,0.39763,0.42087,0.27701,1.2502,1.04966,1.06366,8.8655e-06,8.8655e-06,8.8655e-06
97,3062.15,0.9628,0.59375,0.90986,0.65685,0.38524,0.42146,0.27748,1.24904,1.04984,1.06305,7.3904e-06,7.3904e-06,7.3904e-06
98,3093.29,0.96797,0.59657,0.91048,0.65252,0.38428,0.42162,0.27724,1.24685,1.04854,1.06351,5.9153e-06,5.9153e-06,5.9153e-06
99,3124.55,0.96918,0.59547,0.91129,0.64552,0.38727,0.42221,0.27841,1.24724,1.0476,1.06373,4.4402e-06,4.4402e-06,4.4402e-06
100,3155.47,0.96092,0.59186,0.90964,0.64905,0.38621,0.42277,0.27746,1.24752,1.04894,1.06418,2.9651e-06,2.9651e-06,2.9651e-06
