epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2763,1.41342,1.96039,1.38358,0.63073,0.56079,0.59922,0.3481,1.49615,1.52596,1.457,0.000207769,0.000207769,0.000207769
2,112.245,1.47691,1.69383,1.46548,0.54679,0.46326,0.48602,0.27215,1.59661,1.81793,1.57929,0.000411983,0.000411983,0.000411983
3,140.187,1.52235,1.76507,1.51348,0.56185,0.49066,0.50976,0.28742,1.58353,1.68083,1.56477,0.000612072,0.000612072,0.000612072
4,167.664,1.52781,1.77849,1.52353,0.51457,0.45361,0.47389,0.25735,1.62852,1.74947,1.59775,0.000606437,0.000606437,0.000606437
5,197.07,1.50376,1.70264,1.50242,0.59466,0.51126,0.55127,0.3137,1.56561,1.59884,1.55179,0.00060025,0.00060025,0.00060025
6,225.435,1.46776,1.6242,1.47474,0.63685,0.5174,0.57097,0.34013,1.49279,1.50076,1.51455,0.000594062,0.000594062,0.000594062
7,254.157,1.45216,1.5733,1.45995,0.66249,0.54697,0.60478,0.3598,1.48902,1.43834,1.50128,0.000587875,0.000587875,0.000587875
8,283.436,1.43053,1.51877,1.44803,0.64331,0.55678,0.60882,0.35849,1.51051,1.43106,1.53086,0.000581687,0.000581687,0.000581687
9,310.96,1.40995,1.47618,1.42711,0.67221,0.55814,0.62559,0.3755,1.44977,1.37917,1.44963,0.0005755,0.0005755,0.0005755
10,339.592,1.38909,1.44237,1.42135,0.69634,0.57549,0.64353,0.3889,1.44609,1.32352,1.46941,0.000569313,0.000569313,0.000569313
11,368.295,1.36885,1.39087,1.40073,0.70156,0.6106,0.67253,0.41254,1.4219,1.26284,1.43798,0.000563125,0.000563125,0.000563125
12,395.404,1.37105,1.3756,1.40017,0.72195,0.59589,0.67424,0.4154,1.4155,1.26065,1.43006,0.000556938,0.000556938,0.000556938
