epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4626,1.39462,1.95848,1.38111,0.64594,0.6008,0.6361,0.381,1.42305,1.43326,1.40156,0.000207769,0.000207769,0.000207769
2,74.4224,1.42448,1.61941,1.41739,0.6261,0.52357,0.56838,0.32934,1.50472,1.56944,1.48138,0.000411983,0.000411983,0.000411983
3,100.349,1.46859,1.683,1.46845,0.60548,0.53027,0.55722,0.31285,1.53852,1.58068,1.52129,0.000612072,0.000612072,0.000612072
4,125.753,1.47749,1.68102,1.48151,0.62473,0.52864,0.5692,0.32589,1.54134,1.57449,1.508,0.000606437,0.000606437,0.000606437
5,151.067,1.44999,1.60419,1.4628,0.63345,0.57324,0.60255,0.35021,1.52199,1.45657,1.5146,0.00060025,0.00060025,0.00060025
6,176.878,1.41851,1.54392,1.43816,0.66253,0.5705,0.61975,0.36769,1.48289,1.40718,1.47899,0.000594062,0.000594062,0.000594062
7,209.911,1.40761,1.47426,1.41985,0.67659,0.58147,0.64185,0.38663,1.45478,1.33888,1.45846,0.000587875,0.000587875,0.000587875
8,235.026,1.38594,1.44311,1.41084,0.6709,0.59567,0.64699,0.38566,1.46306,1.3119,1.47625,0.000581687,0.000581687,0.000581687
9,260.175,1.36628,1.3838,1.39479,0.69813,0.60875,0.66976,0.40939,1.42868,1.29708,1.43932,0.0005755,0.0005755,0.0005755
10,285.462,1.34812,1.35161,1.38755,0.71375,0.6105,0.67138,0.40952,1.42748,1.27292,1.43876,0.000569313,0.000569313,0.000569313
11,321.712,1.33223,1.30995,1.37043,0.69569,0.62325,0.67581,0.40605,1.43165,1.26038,1.43716,0.000563125,0.000563125,0.000563125
12,346.64,1.33142,1.2936,1.37203,0.71198,0.61471,0.68796,0.42593,1.41425,1.21493,1.4311,0.000556938,0.000556938,0.000556938
13,371.838,1.31884,1.27323,1.35706,0.71872,0.64413,0.69911,0.42081,1.42456,1.20333,1.43588,0.00055075,0.00055075,0.00055075
14,396.944,1.31045,1.23282,1.34974,0.71842,0.63336,0.69939,0.42971,1.41486,1.20996,1.43511,0.000544563,0.000544563,0.000544563
15,429.545,1.28882,1.21805,1.33597,0.72079,0.62591,0.6975,0.42835,1.41149,1.1841,1.41466,0.000538375,0.000538375,0.000538375
16,454.411,1.28417,1.18432,1.3286,0.75437,0.64681,0.72226,0.44435,1.40992,1.13425,1.40733,0.000532187,0.000532187,0.000532187
17,479.719,1.26672,1.16688,1.31955,0.75509,0.64286,0.72029,0.45005,1.37127,1.13254,1.38955,0.000526,0.000526,0.000526
18,504.779,1.25556,1.14654,1.30987,0.75724,0.64562,0.72821,0.4564,1.37294,1.12312,1.38151,0.000519812,0.000519812,0.000519812
19,530.445,1.24624,1.12664,1.30745,0.74685,0.6692,0.73796,0.46384,1.37847,1.0956,1.3895,0.000513625,0.000513625,0.000513625
20,561.661,1.23841,1.12011,1.29998,0.77155,0.66341,0.74418,0.46279,1.37508,1.08245,1.39826,0.000507438,0.000507438,0.000507438
21,587.063,1.23031,1.09875,1.29344,0.74416,0.65789,0.72337,0.4517,1.3821,1.1065,1.39745,0.00050125,0.00050125,0.00050125
22,612.214,1.22479,1.08574,1.29231,0.78186,0.64866,0.73527,0.46151,1.36783,1.09172,1.37516,0.000495063,0.000495063,0.000495063
23,637.15,1.21401,1.05948,1.28424,0.75082,0.6587,0.73448,0.46132,1.37247,1.08998,1.38087,0.000488875,0.000488875,0.000488875
24,667.559,1.20466,1.04765,1.27958,0.74408,0.67105,0.73645,0.46198,1.36941,1.08667,1.38305,0.000482687,0.000482687,0.000482687
25,692.57,1.20258,1.04349,1.27793,0.77392,0.66757,0.75125,0.47848,1.35392,1.05731,1.37317,0.0004765,0.0004765,0.0004765
