epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.6549,1.4672,2.84366,1.13922,0.55382,0.193,0.19311,0.13166,1.31567,1.62325,1.06854,4.9521e-05,4.9521e-05,4.9521e-05
2,140.53,1.37982,1.54464,1.11262,0.56934,0.2749,0.26585,0.17844,1.31061,1.40816,1.0764,9.82057e-05,9.82057e-05,9.82057e-05
3,177.94,1.37908,1.4112,1.12125,0.55855,0.2783,0.30089,0.2005,1.30891,1.33285,1.09214,0.000145907,0.000145907,0.000145907
4,211.873,1.38839,1.35204,1.13166,0.53696,0.28352,0.30411,0.19908,1.32209,1.31339,1.09244,0.000144575,0.000144575,0.000144575
5,246.204,1.38247,1.3078,1.13364,0.62233,0.29008,0.3187,0.21231,1.29991,1.26423,1.08959,0.0001431,0.0001431,0.0001431
6,278.196,1.37496,1.25816,1.13593,0.5257,0.31711,0.33107,0.21918,1.30048,1.23767,1.07973,0.000141624,0.000141624,0.000141624
7,310.154,1.3791,1.24282,1.13656,0.54825,0.31532,0.33645,0.2223,1.29486,1.21079,1.07714,0.000140149,0.000140149,0.000140149
8,343.723,1.3697,1.21058,1.14004,0.52871,0.31933,0.33445,0.21862,1.30316,1.20328,1.07892,0.000138674,0.000138674,0.000138674
9,377.315,1.37395,1.20076,1.14751,0.57594,0.32503,0.35611,0.23439,1.30118,1.18391,1.08123,0.000137199,0.000137199,0.000137199
10,410.955,1.37691,1.17491,1.15018,0.58304,0.34615,0.36124,0.24226,1.27623,1.16675,1.07502,0.000135724,0.000135724,0.000135724
11,442.977,1.38148,1.17737,1.15781,0.52762,0.35579,0.36328,0.23912,1.28694,1.16012,1.07875,0.000134249,0.000134249,0.000134249
12,474.709,1.38267,1.1663,1.15907,0.56137,0.35258,0.37081,0.24347,1.2839,1.14573,1.07489,0.000132774,0.000132774,0.000132774
13,507.027,1.39334,1.16075,1.16701,0.60586,0.35212,0.3813,0.25195,1.28463,1.14834,1.07066,0.000131299,0.000131299,0.000131299
14,538.814,1.39458,1.15996,1.176,0.5715,0.36307,0.38048,0.25333,1.27036,1.13313,1.07486,0.000129824,0.000129824,0.000129824
15,571.785,1.40252,1.14695,1.17522,0.58433,0.3678,0.38028,0.25505,1.28237,1.12918,1.07422,0.000128349,0.000128349,0.000128349
16,603.657,1.39495,1.13556,1.18147,0.57985,0.36476,0.38347,0.25294,1.28673,1.1343,1.07164,0.000126873,0.000126873,0.000126873
17,635.341,1.40699,1.13328,1.18605,0.5168,0.38597,0.38684,0.25653,1.26162,1.12701,1.06761,0.000125398,0.000125398,0.000125398
18,667.431,1.41658,1.14163,1.19461,0.57523,0.36172,0.38885,0.25761,1.27822,1.10689,1.06494,0.000123923,0.000123923,0.000123923
19,701.255,1.406,1.12274,1.19331,0.60504,0.36222,0.39391,0.26554,1.26761,1.10124,1.06945,0.000122448,0.000122448,0.000122448
20,746.653,1.42436,1.12764,1.20253,0.6106,0.36222,0.39459,0.25899,1.27418,1.09881,1.0692,0.000120973,0.000120973,0.000120973
21,779.377,1.4161,1.10738,1.20355,0.54417,0.38345,0.39654,0.26567,1.28092,1.10614,1.07258,0.000119498,0.000119498,0.000119498
22,811.348,1.40227,1.09932,1.19665,0.60676,0.374,0.40434,0.2713,1.2682,1.092,1.06509,0.000118023,0.000118023,0.000118023
23,843.542,1.40973,1.09428,1.19717,0.6366,0.36156,0.40026,0.26636,1.26709,1.09086,1.06834,0.000116548,0.000116548,0.000116548
24,874.717,1.39403,1.08074,1.19367,0.60891,0.36834,0.39564,0.26397,1.26425,1.09397,1.06272,0.000115073,0.000115073,0.000115073
25,907.745,1.38983,1.07552,1.1899,0.60156,0.37655,0.40147,0.26621,1.26875,1.0904,1.06796,0.000113598,0.000113598,0.000113598
26,939.148,1.40244,1.06748,1.18893,0.59716,0.38103,0.39918,0.26513,1.25916,1.08125,1.06215,0.000112122,0.000112122,0.000112122
27,972.052,1.38537,1.05503,1.18521,0.62681,0.3677,0.40148,0.26995,1.25708,1.08197,1.06145,0.000110647,0.000110647,0.000110647
28,1003.34,1.36594,1.04729,1.18019,0.6114,0.36957,0.3973,0.26496,1.24739,1.08366,1.06225,0.000109172,0.000109172,0.000109172
29,1036.68,1.37295,1.04193,1.18044,0.5992,0.37553,0.3982,0.26405,1.26791,1.08336,1.06496,0.000107697,0.000107697,0.000107697
30,1067.77,1.3698,1.02903,1.17698,0.54947,0.39172,0.39894,0.26663,1.26376,1.07938,1.05887,0.000106222,0.000106222,0.000106222
31,1100.24,1.36152,1.02626,1.17443,0.56223,0.38109,0.39325,0.26176,1.26633,1.08346,1.05837,0.000104747,0.000104747,0.000104747
32,1131.17,1.36184,1.01366,1.17306,0.59208,0.37593,0.39364,0.26595,1.25588,1.08064,1.06197,0.000103272,0.000103272,0.000103272
33,1164.14,1.35998,1.0129,1.1732,0.5704,0.37004,0.39681,0.26945,1.25399,1.08005,1.05583,0.000101797,0.000101797,0.000101797
34,1194.97,1.34961,1.00262,1.17063,0.60669,0.38171,0.40218,0.26707,1.25684,1.07225,1.06446,0.000100322,0.000100322,0.000100322
35,1228.22,1.35141,0.99425,1.16986,0.62697,0.38177,0.40766,0.27068,1.25339,1.06875,1.06077,9.88466e-05,9.88466e-05,9.88466e-05
36,1258.84,1.3508,0.98607,1.16555,0.62982,0.37614,0.4116,0.27574,1.25562,1.07068,1.06082,9.73715e-05,9.73715e-05,9.73715e-05
37,1291.25,1.33538,0.9756,1.16507,0.58185,0.38184,0.40074,0.26759,1.26192,1.07099,1.05952,9.58964e-05,9.58964e-05,9.58964e-05
38,1322.18,1.33732,0.9764,1.16198,0.55911,0.39139,0.40632,0.27239,1.25762,1.06831,1.065,9.44213e-05,9.44213e-05,9.44213e-05
39,1354.9,1.32748,0.96281,1.16013,0.63715,0.37773,0.41001,0.27808,1.25398,1.07224,1.05911,9.29462e-05,9.29462e-05,9.29462e-05
40,1385.93,1.32913,0.96594,1.16102,0.56835,0.3928,0.40865,0.27173,1.25121,1.0661,1.06304,9.14711e-05,9.14711e-05,9.14711e-05
41,1419.16,1.32646,0.95723,1.15983,0.56955,0.40124,0.41264,0.2758,1.2551,1.05843,1.06277,8.9996e-05,8.9996e-05,8.9996e-05
42,1450.6,1.31662,0.94988,1.15477,0.61601,0.37878,0.41149,0.27374,1.26624,1.06535,1.06541,8.85209e-05,8.85209e-05,8.85209e-05
43,1482.84,1.30444,0.93955,1.15264,0.61388,0.38101,0.41526,0.27765,1.24998,1.06369,1.05851,8.70458e-05,8.70458e-05,8.70458e-05
44,1514.03,1.31375,0.94139,1.1531,0.60731,0.38778,0.40839,0.27141,1.25779,1.06181,1.06655,8.55707e-05,8.55707e-05,8.55707e-05
45,1547.03,1.30855,0.9329,1.14996,0.63953,0.37616,0.41462,0.27988,1.25672,1.06158,1.06298,8.40956e-05,8.40956e-05,8.40956e-05
46,1578.97,1.31104,0.93438,1.15145,0.59543,0.3992,0.41541,0.27503,1.26412,1.0615,1.06426,8.26205e-05,8.26205e-05,8.26205e-05
47,1612.12,1.3079,0.92599,1.1484,0.60148,0.38241,0.41238,0.27943,1.25642,1.05954,1.06281,8.11454e-05,8.11454e-05,8.11454e-05
48,1644.44,1.30789,0.92545,1.14976,0.59914,0.39149,0.41592,0.27305,1.26281,1.05531,1.07041,7.96703e-05,7.96703e-05,7.96703e-05
49,1677.91,1.28702,0.91163,1.14457,0.57165,0.40236,0.4138,0.27637,1.26414,1.05498,1.06801,7.81952e-05,7.81952e-05,7.81952e-05
