epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.782,1.41965,1.9779,1.39182,0.66837,0.55304,0.59872,0.34535,1.48993,1.58441,1.45515,0.000207769,0.000207769,0.000207769
2,103.581,1.4917,1.71427,1.4824,0.54681,0.46963,0.4815,0.26996,1.60955,1.83738,1.57067,0.000411983,0.000411983,0.000411983
3,134.077,1.54743,1.78887,1.53405,0.51375,0.48757,0.48605,0.26977,1.59471,1.78584,1.56034,0.000612072,0.000612072,0.000612072
4,161.613,1.57028,1.82088,1.55889,0.53752,0.49956,0.52414,0.29629,1.56207,1.63974,1.56556,0.000606437,0.000606437,0.000606437
5,189.727,1.54114,1.7419,1.54177,0.59596,0.53453,0.56352,0.32463,1.54869,1.5522,1.53739,0.00060025,0.00060025,0.00060025
6,217.128,1.51092,1.6791,1.52236,0.62425,0.53908,0.58596,0.34319,1.54056,1.50274,1.54106,0.000594062,0.000594062,0.000594062
7,245.141,1.50552,1.61891,1.51657,0.66024,0.55447,0.60313,0.3537,1.51697,1.44226,1.52513,0.000587875,0.000587875,0.000587875
8,272.951,1.49191,1.59119,1.50861,0.67165,0.55281,0.62689,0.37373,1.48178,1.37199,1.5039,0.000581687,0.000581687,0.000581687
9,301.779,1.47875,1.54357,1.4991,0.6829,0.57351,0.63664,0.39097,1.45117,1.36874,1.46285,0.0005755,0.0005755,0.0005755
10,329.099,1.46613,1.51746,1.49786,0.6803,0.58351,0.64351,0.38651,1.45665,1.32047,1.47131,0.000569313,0.000569313,0.000569313
11,357.152,1.45574,1.48113,1.48906,0.66262,0.59764,0.64233,0.38704,1.45521,1.35223,1.45282,0.000563125,0.000563125,0.000563125
12,385.597,1.46613,1.47371,1.49787,0.70654,0.58704,0.65769,0.40051,1.43705,1.30564,1.45292,0.000556938,0.000556938,0.000556938
13,413.094,1.45737,1.45778,1.49087,0.70024,0.61486,0.68271,0.41757,1.44027,1.23688,1.4448,0.00055075,0.00055075,0.00055075
14,441.436,1.45407,1.41026,1.48613,0.71546,0.60178,0.67708,0.41645,1.41257,1.23946,1.43741,0.000544563,0.000544563,0.000544563
15,472.188,1.43677,1.39292,1.48389,0.71317,0.5945,0.68479,0.42403,1.40831,1.23811,1.42716,0.000538375,0.000538375,0.000538375
16,502.982,1.43869,1.3682,1.47816,0.73937,0.63915,0.71722,0.44186,1.39939,1.15452,1.42335,0.000532187,0.000532187,0.000532187
17,531.705,1.42986,1.36063,1.48155,0.71834,0.64812,0.7169,0.44584,1.39436,1.1461,1.41597,0.000526,0.000526,0.000526
18,560.761,1.42802,1.34568,1.47943,0.74821,0.63125,0.71523,0.44351,1.39014,1.16539,1.40867,0.000519812,0.000519812,0.000519812
19,589.366,1.42641,1.33594,1.47615,0.72942,0.65026,0.71949,0.4465,1.39809,1.16326,1.40302,0.000513625,0.000513625,0.000513625
20,625.056,1.41791,1.31692,1.4773,0.75376,0.65085,0.73291,0.45681,1.38951,1.12503,1.40225,0.000507438,0.000507438,0.000507438
21,653.632,1.41157,1.29995,1.47305,0.75923,0.64247,0.72861,0.45731,1.37051,1.12763,1.39304,0.00050125,0.00050125,0.00050125
22,682.384,1.40777,1.28534,1.46924,0.75177,0.64013,0.72418,0.44914,1.39689,1.13461,1.40536,0.000495063,0.000495063,0.000495063
23,715.459,1.39982,1.27112,1.46238,0.73904,0.657,0.7325,0.45934,1.38134,1.10973,1.39703,0.000488875,0.000488875,0.000488875
