epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3282,1.42096,1.96698,1.38731,0.64817,0.55816,0.61484,0.36045,1.47201,1.51094,1.45571,0.000207769,0.000207769,0.000207769
2,105.967,1.49688,1.72358,1.47769,0.54701,0.47143,0.48576,0.27198,1.58375,1.78404,1.55309,0.000411983,0.000411983,0.000411983
3,133.634,1.55523,1.80508,1.54114,0.54288,0.44906,0.48059,0.26597,1.57762,1.79526,1.58522,0.000612072,0.000612072,0.000612072
4,161.167,1.56755,1.82718,1.55892,0.55691,0.52467,0.53868,0.29872,1.61536,1.63062,1.59993,0.000606437,0.000606437,0.000606437
5,188.659,1.54837,1.75849,1.55056,0.60578,0.48963,0.54714,0.31219,1.58258,1.65128,1.57462,0.00060025,0.00060025,0.00060025
6,216.044,1.51901,1.68995,1.52689,0.62094,0.53772,0.58698,0.34532,1.52663,1.51088,1.52179,0.000594062,0.000594062,0.000594062
7,243.452,1.52446,1.64866,1.53363,0.6905,0.53906,0.60677,0.35407,1.52535,1.4933,1.54385,0.000587875,0.000587875,0.000587875
8,270.653,1.5043,1.6145,1.52851,0.66075,0.56328,0.61288,0.36588,1.50451,1.41576,1.52172,0.000581687,0.000581687,0.000581687
9,298.145,1.49014,1.57246,1.51555,0.66487,0.56702,0.62313,0.37594,1.45191,1.36153,1.46064,0.0005755,0.0005755,0.0005755
10,325.333,1.48459,1.53299,1.51165,0.66728,0.57895,0.64069,0.37966,1.48108,1.35072,1.48525,0.000569313,0.000569313,0.000569313
11,352.71,1.47187,1.48828,1.50407,0.70338,0.58919,0.65427,0.39209,1.44798,1.30502,1.47196,0.000563125,0.000563125,0.000563125
12,379.864,1.47849,1.48224,1.51047,0.6693,0.59687,0.6501,0.39434,1.44033,1.30103,1.4441,0.000556938,0.000556938,0.000556938
13,407.203,1.47334,1.4661,1.50507,0.71642,0.60341,0.67902,0.41617,1.42339,1.23495,1.4389,0.00055075,0.00055075,0.00055075
14,434.436,1.47137,1.42969,1.50108,0.7134,0.59995,0.68047,0.41388,1.43305,1.24912,1.44796,0.000544563,0.000544563,0.000544563
15,461.57,1.46744,1.4231,1.50636,0.7077,0.61386,0.68028,0.42323,1.41206,1.20658,1.43147,0.000538375,0.000538375,0.000538375
16,488.874,1.46227,1.39707,1.50264,0.72919,0.6319,0.69826,0.43064,1.41933,1.19783,1.4361,0.000532187,0.000532187,0.000532187
17,516.026,1.45325,1.37978,1.50599,0.74273,0.62896,0.70552,0.43756,1.39629,1.17654,1.42309,0.000526,0.000526,0.000526
18,543.295,1.45246,1.36757,1.50391,0.73784,0.61328,0.69231,0.43052,1.38513,1.19274,1.40038,0.000519812,0.000519812,0.000519812
19,573.204,1.45202,1.34903,1.5019,0.75568,0.61979,0.71564,0.4486,1.38639,1.14051,1.39681,0.000513625,0.000513625,0.000513625
20,613.098,1.43855,1.33722,1.50041,0.74133,0.65016,0.7179,0.44799,1.39182,1.14122,1.40354,0.000507438,0.000507438,0.000507438
21,640.34,1.43505,1.3244,1.49444,0.75537,0.63584,0.72194,0.45731,1.37826,1.12855,1.38922,0.00050125,0.00050125,0.00050125
22,667.586,1.43173,1.30761,1.49153,0.78137,0.63249,0.72979,0.45999,1.37902,1.11449,1.39279,0.000495063,0.000495063,0.000495063
23,694.587,1.42334,1.29426,1.48593,0.74747,0.63302,0.71348,0.45157,1.37986,1.1358,1.40106,0.000488875,0.000488875,0.000488875
24,721.841,1.40828,1.27615,1.48112,0.73627,0.66157,0.72597,0.45733,1.38897,1.11324,1.40418,0.000482687,0.000482687,0.000482687
25,748.873,1.40156,1.24927,1.47514,0.75124,0.65288,0.72669,0.45756,1.37534,1.11322,1.38975,0.0004765,0.0004765,0.0004765
26,776.122,1.39778,1.24832,1.4693,0.7601,0.65491,0.73713,0.46239,1.37815,1.09114,1.38624,0.000470312,0.000470312,0.000470312
27,803.289,1.38798,1.22232,1.46128,0.75114,0.66609,0.73972,0.4683,1.36997,1.08715,1.39071,0.000464125,0.000464125,0.000464125
28,830.506,1.373,1.19969,1.454,0.75909,0.66897,0.74549,0.47009,1.36754,1.06563,1.3929,0.000457938,0.000457938,0.000457938
29,858.597,1.36729,1.20026,1.44913,0.75958,0.65333,0.74007,0.46981,1.36028,1.0784,1.37943,0.00045175,0.00045175,0.00045175
30,887.367,1.36087,1.18156,1.44296,0.78169,0.65335,0.7473,0.47282,1.36679,1.06261,1.37935,0.000445562,0.000445562,0.000445562
31,916.274,1.35938,1.16165,1.43576,0.76724,0.68334,0.75377,0.47484,1.35831,1.04547,1.37171,0.000439375,0.000439375,0.000439375
32,944.934,1.33874,1.14645,1.42799,0.77449,0.65845,0.74338,0.47318,1.34481,1.0504,1.36584,0.000433187,0.000433187,0.000433187
33,973.926,1.34204,1.13429,1.42444,0.77978,0.6763,0.75467,0.47923,1.37249,1.04082,1.39675,0.000427,0.000427,0.000427
34,1002.73,1.33424,1.12021,1.42237,0.76816,0.66927,0.7445,0.4709,1.351,1.04924,1.37795,0.000420812,0.000420812,0.000420812
35,1031.51,1.32,1.10341,1.41137,0.76455,0.67084,0.7503,0.47948,1.35203,1.03728,1.36754,0.000414625,0.000414625,0.000414625
36,1060.21,1.31079,1.08436,1.40088,0.79093,0.68023,0.76586,0.48553,1.35191,1.01013,1.3741,0.000408438,0.000408438,0.000408438
