epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4694,1.4199,1.98022,1.38938,0.6161,0.53528,0.58256,0.33379,1.52568,1.63344,1.4759,0.000207769,0.000207769,0.000207769
2,87.7281,1.50176,1.72003,1.48501,0.57673,0.47903,0.50368,0.27789,1.59094,1.78952,1.55362,0.000411983,0.000411983,0.000411983
3,121.356,1.55421,1.80479,1.54125,0.53994,0.45209,0.47145,0.25356,1.65551,1.99785,1.61915,0.000612072,0.000612072,0.000612072
4,154.812,1.57648,1.84123,1.56722,0.52858,0.46734,0.4674,0.24653,1.67645,1.85618,1.64212,0.000606437,0.000606437,0.000606437
5,183.269,1.55338,1.7638,1.55302,0.5881,0.51281,0.54064,0.31038,1.58446,1.61799,1.58642,0.00060025,0.00060025,0.00060025
6,216.002,1.5298,1.70523,1.53709,0.62238,0.52569,0.57173,0.34104,1.53233,1.50385,1.5228,0.000594062,0.000594062,0.000594062
7,249.092,1.51972,1.64695,1.52644,0.65011,0.54096,0.59755,0.35507,1.51095,1.44961,1.51865,0.000587875,0.000587875,0.000587875
8,281.882,1.50984,1.61538,1.52802,0.65532,0.55502,0.61537,0.36785,1.48947,1.43862,1.49499,0.000581687,0.000581687,0.000581687
9,310.234,1.49771,1.57601,1.52023,0.67942,0.55477,0.62076,0.37611,1.46877,1.40158,1.47988,0.0005755,0.0005755,0.0005755
10,343.304,1.49497,1.55032,1.521,0.67785,0.59394,0.64916,0.39232,1.45594,1.31185,1.46526,0.000569313,0.000569313,0.000569313
11,373.78,1.47638,1.49894,1.50883,0.71568,0.58473,0.65588,0.39754,1.45895,1.3063,1.46449,0.000563125,0.000563125,0.000563125
12,404.632,1.483,1.48871,1.51773,0.70868,0.58409,0.65365,0.39461,1.45106,1.28168,1.45606,0.000556938,0.000556938,0.000556938
13,431.813,1.48168,1.47772,1.51819,0.7152,0.60658,0.68363,0.41006,1.44239,1.23413,1.44688,0.00055075,0.00055075,0.00055075
14,462.595,1.4806,1.44047,1.51103,0.73646,0.60343,0.68268,0.42064,1.4196,1.23168,1.43891,0.000544563,0.000544563,0.000544563
15,493.017,1.46513,1.42482,1.50689,0.7282,0.63116,0.70595,0.43239,1.40875,1.19136,1.42199,0.000538375,0.000538375,0.000538375
16,522.86,1.46826,1.39625,1.5057,0.73743,0.62907,0.69981,0.4334,1.41824,1.17773,1.43312,0.000532187,0.000532187,0.000532187
17,550.341,1.46256,1.39301,1.51328,0.71898,0.62651,0.69653,0.43128,1.4073,1.18812,1.42852,0.000526,0.000526,0.000526
18,580.386,1.45908,1.37993,1.51563,0.73449,0.62724,0.70681,0.43894,1.38258,1.16944,1.4031,0.000519812,0.000519812,0.000519812
19,615.967,1.45892,1.36581,1.50871,0.75658,0.63782,0.71659,0.44628,1.40309,1.13819,1.41018,0.000513625,0.000513625,0.000513625
20,643.482,1.45168,1.35181,1.51436,0.73291,0.63108,0.70619,0.43674,1.40828,1.17854,1.42539,0.000507438,0.000507438,0.000507438
21,673.682,1.45268,1.34021,1.51174,0.74478,0.64438,0.72425,0.45186,1.38189,1.13419,1.39908,0.00050125,0.00050125,0.00050125
22,703.695,1.43987,1.31066,1.50167,0.74703,0.66024,0.73139,0.45538,1.38928,1.11342,1.40041,0.000495063,0.000495063,0.000495063
23,734.342,1.42688,1.2942,1.48854,0.74837,0.65066,0.73298,0.46257,1.38811,1.1038,1.40585,0.000488875,0.000488875,0.000488875
24,768.736,1.41573,1.28094,1.48927,0.75135,0.64417,0.72323,0.45049,1.39128,1.11665,1.40628,0.000482687,0.000482687,0.000482687
25,799.891,1.40967,1.26519,1.48745,0.74408,0.65304,0.73276,0.46055,1.3719,1.10258,1.38543,0.0004765,0.0004765,0.0004765
26,827.027,1.40664,1.24372,1.47771,0.74062,0.66476,0.73806,0.4624,1.38659,1.07247,1.40228,0.000470312,0.000470312,0.000470312
27,858.416,1.39792,1.22729,1.47105,0.75868,0.66951,0.74201,0.46919,1.36183,1.06995,1.37836,0.000464125,0.000464125,0.000464125
28,888.853,1.38168,1.20387,1.46299,0.7794,0.65436,0.74734,0.471,1.36964,1.05542,1.39339,0.000457938,0.000457938,0.000457938
29,919.144,1.37637,1.21,1.4565,0.77281,0.65554,0.7382,0.46326,1.3735,1.06797,1.38868,0.00045175,0.00045175,0.00045175
30,946.203,1.36791,1.18242,1.45027,0.7596,0.66882,0.74282,0.47182,1.35746,1.05588,1.3743,0.000445562,0.000445562,0.000445562
31,976.703,1.36497,1.17556,1.44184,0.7722,0.66941,0.75454,0.47993,1.36726,1.03402,1.39502,0.000439375,0.000439375,0.000439375
32,1007.37,1.3502,1.15758,1.43825,0.77244,0.66261,0.74222,0.46733,1.36004,1.05422,1.37869,0.000433187,0.000433187,0.000433187
33,1034.39,1.35275,1.14062,1.43146,0.74684,0.68224,0.75362,0.47553,1.36182,1.04347,1.38533,0.000427,0.000427,0.000427
34,1068.12,1.34115,1.13428,1.42922,0.76175,0.67592,0.74986,0.47501,1.3598,1.04481,1.37919,0.000420812,0.000420812,0.000420812
35,1098.29,1.33026,1.11785,1.42146,0.76865,0.67256,0.75386,0.48175,1.34632,1.01702,1.36919,0.000414625,0.000414625,0.000414625
36,1126.01,1.32614,1.09895,1.41306,0.77788,0.67931,0.75683,0.47814,1.36112,1.01046,1.37469,0.000408438,0.000408438,0.000408438
37,1158.84,1.32367,1.09198,1.41615,0.76835,0.69122,0.76094,0.48671,1.36,1.00947,1.37177,0.00040225,0.00040225,0.00040225
38,1189.19,1.31613,1.08434,1.40832,0.79745,0.66905,0.76663,0.48981,1.34341,1.0157,1.36538,0.000396063,0.000396063,0.000396063
39,1217.45,1.30672,1.06023,1.39969,0.78005,0.69292,0.76725,0.48711,1.35863,1.01142,1.36981,0.000389875,0.000389875,0.000389875
40,1246.89,1.29259,1.0501,1.39985,0.79129,0.68724,0.77179,0.49451,1.34923,1.00165,1.3687,0.000383688,0.000383688,0.000383688
41,1277.28,1.29178,1.04022,1.39952,0.78878,0.672,0.75836,0.48336,1.35683,1.00273,1.36712,0.0003775,0.0003775,0.0003775
42,1307.54,1.29379,1.02997,1.38908,0.78448,0.68257,0.75693,0.48523,1.35593,1.01137,1.37068,0.000371313,0.000371313,0.000371313
43,1334.68,1.27779,1.01321,1.38163,0.78706,0.68079,0.76702,0.49143,1.34564,0.98434,1.36706,0.000365125,0.000365125,0.000365125
44,1364.96,1.26338,1.00322,1.36796,0.78323,0.68676,0.76573,0.48507,1.35742,0.98411,1.37008,0.000358938,0.000358938,0.000358938
