image,repeat,brightness,num_labels,has_small,is_dark
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00001.png,1,0.159840,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00003.png,3,0.096827,3,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00004.jpg,1,0.040740,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00005.jpg,1,0.193404,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00006.jpg,1,0.385274,3,1,0
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00008.jpg,1,0.234242,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00009.jpg,1,0.203155,4,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00010.jpg,1,0.077912,3,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00011.jpg,1,0.174083,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00012.jpg,1,0.194720,4,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00013.jpg,1,0.163285,4,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00014.jpg,1,0.252538,3,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00015.jpg,2,0.036934,3,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00016.jpg,1,0.246819,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00017.jpg,1,0.285869,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00018.jpg,1,0.297311,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00020.jpg,1,0.330759,1,0,0
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00021.jpg,1,0.132078,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00022.jpg,1,0.197928,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00024.JPG,1,0.339451,3,0,0
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00025.jpg,2,0.227691,7,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00027.jpg,2,0.200309,7,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00029.jpg,1,0.190211,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00030.jpg,1,0.182054,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00031.jpg,1,0.170487,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00032.jpg,1,0.185362,3,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00033.jpg,1,0.099970,8,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00034.jpg,1,0.120428,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00035.jpg,1,0.137696,3,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00037.jpg,1,0.075434,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00039.jpg,3,0.174848,2,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00040.jpg,3,0.172841,11,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00043.jpg,1,0.085597,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00044.jpg,1,0.251084,4,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00046.jpg,1,0.215203,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00047.jpg,1,0.125472,3,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00048.jpg,1,0.282161,6,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00049.jpg,2,0.248230,11,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00050.jpg,1,0.114206,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00051.jpg,1,0.225802,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00052.jpg,2,0.236288,4,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00053.jpg,1,0.459677,7,0,0
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00054.jpg,2,0.186756,8,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00055.jpg,1,0.190824,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00056.jpg,2,0.143703,7,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00057.jpg,1,0.283784,3,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00058.jpg,2,0.241072,3,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00059.jpg,1,0.175980,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00063.jpg,1,0.224829,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00064.jpg,1,0.123205,6,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00065.jpg,3,0.177949,7,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00067.jpg,1,0.181553,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00069.jpg,3,0.093678,3,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00070.jpg,1,0.063848,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00073.jpg,2,0.250376,8,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00074.jpg,1,0.139812,5,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00075.jpg,1,0.128447,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00076.jpg,2,0.054921,6,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00077.jpg,3,0.063519,17,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00078.jpg,2,0.177600,4,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00079.jpg,2,0.159307,4,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00080.jpg,1,0.250404,3,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00081.jpg,1,0.235121,5,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00082.jpg,1,0.223857,3,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00083.jpg,1,0.143164,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00084.jpg,1,0.239111,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00087.jpg,1,0.176140,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00088.jpg,1,0.206302,3,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00089.jpg,2,0.107738,4,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00090.jpg,2,0.246793,2,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00094.jpg,1,0.176815,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00095.jpg,1,0.051625,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00096.jpg,1,0.213399,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00098.jpg,1,0.193283,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00101.jpg,1,0.143781,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00102.jpg,1,0.145422,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00104.jpg,3,0.049231,5,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00105.jpg,2,0.221125,13,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00106.jpg,1,0.142891,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00107.jpg,1,0.078884,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00110.jpg,1,0.189332,2,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00113.jpg,2,0.222223,2,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00115.jpg,1,0.080744,5,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00116.jpg,3,0.137503,6,1,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00118.jpg,1,0.331090,6,1,0
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00119.jpg,1,0.261729,1,0,1
/root/private_data/lowlight-object-detection/datasets_yolo/ExDark_YOLO/images/train/2015_00121.jpg,1,0.284799,2,0,1
